総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
38,26,0,12,0,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場<属性>〇年代",があ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
0,0,7,6,2,5,0,8,7,3,0,0
うち重症者
0
男性,女性,不明
19,19,0
総数(累計),重症者,死亡(累計),退院(累計)
"4,748",91,155,"1,619"
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
36,93,292,338,75,76,121,132,178,130,197
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
414,163,173,219,128,76,45,99,192,116,110
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
124,42,13,18,27,3,66,9,35,46,14
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留米,武蔵村山
16,18,10,12,6,1,19,6,13,12,2
多摩,稲城,羽村,あきる野,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
29,10,5,7,41,1,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,152,550,,
